sentence_id,sentence,topic,sentiment,span_in_sentence,span,indices
104,A beautiful kettle .,Design,positive,True,A beautiful kettle,"(0, 18)"
105,A beautiful oven  .,Design,positive,True,beautiful oven,"(2, 16)"
106,A beep or a quick on/off/on would have been preferred.,Notifications,negative,True,A beep or a quick on/off/on,"(0, 27)"
107,"A big plus for the eco mode, other generators do not have it.",Features,positive,True,eco mode,"(19, 27)"
108,"A big plus for the possibility of connecting the battery from other Bosch devices, it gives a lot and you can easily vacuum thoroughly.",Battery,positive,True,connecting the battery from other Bosch devices,"(34, 81)"
109,A big plus is the cutlery drawer.,Compartments,positive,True,cutlery drawer,"(18, 32)"
110,A bit complicated to put together for the first time.,Assembly/Disassembly,negative,True,complicated to put together,"(6, 33)"
111,A bit cumbersome but good.,Value,"negative, positive",True,good,"(21, 25)"
111,A bit cumbersome but good.,Materials,"negative, positive",True,bit cumbersome,"(2, 16)"
112,A bit hard to put it together,Assembly/Disassembly,negative,True,A bit hard to put it together,"(0, 29)"
113,A bit heavy but great for daily cleaning.,Suitability,"negative, positive",True,great for daily cleaning,"(16, 40)"
113,A bit heavy but great for daily cleaning.,Weight,"negative, positive",True,A bit heavy,"(0, 11)"
114,A bit noisy but bearable.,Noise,"positive, negative",True,noisy,"(6, 11)"
115,A bit noisy but manageable.,Noise,"positive, negative",True,bit noisy,"(2, 11)"
116,A bit noisy but not that bad,Noise,"positive, negative",True,bit noisy,"(2, 11)"
117,"A bit noisy for me, but works very well.",Noise,"positive, negative",True,noisy,"(6, 11)"
117,"A bit noisy for me, but works very well.",Performances,"positive, negative",True,works very well,"(24, 39)"
118,A bit pricey for me but I had to try it!,Price,negative,True,bit pricey,"(2, 12)"
119,A bit pricey.,Price,negative,True,bit pricey,"(2, 12)"
120,A brush integrated with the super tube for vacuuming skirting boards.,Body,positive,True,A brush integrated with the super tube for vacuuming skirting boards.,"(0, 69)"
121,A charge light indicator would have been nice.,Notifications,negative,True,charge light indicator,"(2, 24)"
122,A child can also use it,Usability,positive,True,A child can also use it,"(0, 23)"
123,"A classic microwave oven, I'm not a fan of those with many functions and buttons, it's small, nice appearance.",Size,positive,True,small,"(87, 92)"
123,"A classic microwave oven, I'm not a fan of those with many functions and buttons, it's small, nice appearance.",Design,positive,True,nice appearance,"(94, 109)"
124,"A cleaner with satisfactory function, appearance and price!",Features,"positive, positive, positive",True,satisfactory function,"(15, 36)"
124,"A cleaner with satisfactory function, appearance and price!",Design,"positive, positive, positive",True,appearance,"(38, 48)"
124,"A cleaner with satisfactory function, appearance and price!",Price,"positive, positive, positive",True,price,"(53, 58)"
125,A cluttered fridge with a tricky defrosting because it produces a lot of water.,Failures,negative,True,tricky defrosting because it produces a lot of water,"(26, 78)"
126,"A coffee maker  turkish coffee machine  with real floor care benefits is hard to find, but this one nails it.",Value,negative,True,nails it,"(100, 108)"
127,"A company that does not stand behind its product, they do not answer the phones, it is broken, but there is no place to get it done, never buy from this company",Customer service responsiveness,negative,True,they do not answer the phones,"(50, 79)"
127,"A company that does not stand behind its product, they do not answer the phones, it is broken, but there is no place to get it done, never buy from this company",Recommendation,negative,True,never buy from this company,"(133, 160)"
128,A design fault makes this thing very dangerous and unsafe to use,Safety,"negative, negative",True,very dangerous and unsafe to use,"(32, 64)"
128,A design fault makes this thing very dangerous and unsafe to use,Design,"negative, negative",True,design fault,"(2, 14)"
129,A disgrace!,Value,negative,True,A disgrace!,"(0, 11)"
130,"A disposable bag is enough for about 30 days and its replacement is not complicated, from what I have read it is friendly to people with asthma or allergies.",Suitability,positive,True,friendly to people with asthma or allergies,"(113, 156)"
130,"A disposable bag is enough for about 30 days and its replacement is not complicated, from what I have read it is friendly to people with asthma or allergies.",Accessories,positive,True,replacement is not complicated,"(53, 83)"
131,a dream to move from room to room and the sound is far better than any other machine I have ever had.,Comparison,"positive, positive",True,far better than any other machine,"(51, 84)"
131,a dream to move from room to room and the sound is far better than any other machine I have ever had.,Usability,"positive, positive",True,a dream to move from room to room,"(0, 33)"
132,A fantastic product.,Value,positive,True,A fantastic product,"(0, 19)"
133,A few days later I got the three beeps again.,Notifications,negative,True,the three beeps,"(23, 38)"
134,A few friends swear by it and many a magazine recommended it.,Recommendation,positive,True,many a magazine recommended it,"(30, 60)"
135,A few months ago I bought the V11 Absolute extra for the mountain house and I was so happy that (taking advantage of the promotional campaign) I repeated the purchase for the city.,Value,"positive, positive",True,so happy,"(82, 90)"
135,A few months ago I bought the V11 Absolute extra for the mountain house and I was so happy that (taking advantage of the promotional campaign) I repeated the purchase for the city.,Campaigns,"positive, positive",True,promotional campaign,"(121, 141)"
136,A few scratches but works fine,Physical damages,"negative, positive",True,A few scratches,"(0, 15)"
136,A few scratches but works fine,Performances,"negative, positive",True,works fine,"(20, 30)"
137,A fine product.,Value,positive,True,A fine product,"(0, 14)"
138,"a full price performance product, it's pointless to give 17-20 thousand to other 3-kg brands in the market. It's not worth the charge for just 25 minutes longer. I'm very satisfied. It's a product that can be bought without hesitation. Hizli cargo",Comparison,positive,True,to other 3-kg brands in the market,"(72, 106)"
138,"a full price performance product, it's pointless to give 17-20 thousand to other 3-kg brands in the market. It's not worth the charge for just 25 minutes longer. I'm very satisfied. It's a product that can be bought without hesitation. Hizli cargo",Value for money,positive,True,It's not worth the charge for just 25 minutes longer,"(108, 160)"
138,"a full price performance product, it's pointless to give 17-20 thousand to other 3-kg brands in the market. It's not worth the charge for just 25 minutes longer. I'm very satisfied. It's a product that can be bought without hesitation. Hizli cargo",Recommendation,positive,True,It's a product that can be bought without hesitation,"(182, 234)"
138,"a full price performance product, it's pointless to give 17-20 thousand to other 3-kg brands in the market. It's not worth the charge for just 25 minutes longer. I'm very satisfied. It's a product that can be bought without hesitation. Hizli cargo",Value,positive,True,I'm very satisfied,"(162, 180)"
139,"A full-fledged deep freezer, snow and ice is definitely not possible, there is absolutely no need to spend a lot of money on its counterparts,",Comparison,positive,True,no need to spend a lot of money on its counterparts,"(90, 141)"
139,"A full-fledged deep freezer, snow and ice is definitely not possible, there is absolutely no need to spend a lot of money on its counterparts,",Failures,positive,True,snow and ice is definitely not possible,"(29, 68)"
140,"A good oven, it's not very big, but it's roomy, it has a grill function and it looks nice.",Features,"positive, negative",True,it has a grill function,"(48, 71)"
140,"A good oven, it's not very big, but it's roomy, it has a grill function and it looks nice.",Design,"positive, negative",True,it looks nice,"(76, 89)"
140,"A good oven, it's not very big, but it's roomy, it has a grill function and it looks nice.",Size,"positive, negative",True,not very big,"(18, 30)"
140,"A good oven, it's not very big, but it's roomy, it has a grill function and it looks nice.",Capacity,"positive, negative",True,roomy,"(41, 46)"
140,"A good oven, it's not very big, but it's roomy, it has a grill function and it looks nice.",Value,"positive, negative",True,A good oven,"(0, 11)"
141,A good solution for apartments,Suitability,positive,True,A good solution for apartments,"(0, 30)"
142,"A good thing, but only for vacuuming the car, it can't cope with a 40m apartment, the battery is dead",Value,"positive, negative",True,A good thing,"(0, 12)"
142,"A good thing, but only for vacuuming the car, it can't cope with a 40m apartment, the battery is dead",Suitability,"positive, negative",True,only for vacuuming the car,"(18, 44)"
142,"A good thing, but only for vacuuming the car, it can't cope with a 40m apartment, the battery is dead",Battery,"positive, negative",True,the battery is dead,"(82, 101)"
143,"A great advantage is the salt indicator, or detergent, because you do not have to periodically check the container.",Notifications,positive,True,"salt indicator, or detergent","(25, 53)"
144,a great coffee maker  turkish coffee machine .,Value,positive,True,a great coffee maker,"(0, 20)"
145,A great color.,Color,positive,True,great color,"(2, 13)"
146,A great disadvantage is the incompatibility of the dryer with the washing machine,Compatibility,negative,True,incompatibility of the dryer with the washing machine,"(28, 81)"
147,A great easy safe hob to use.,Safety,positive,True,safe,"(13, 17)"
147,A great easy safe hob to use.,Value,positive,True,great,"(2, 7)"
147,A great easy safe hob to use.,Usability,positive,True,easy,"(8, 12)"
148,A great gadget is the backlight - you can see exactly where the dust or crumbs are.,Light,positive,True,the backlight,"(18, 31)"
149,a great hair dryer  soundbar .,Value,positive,True,a great hair dryer,"(0, 18)"
150,a great iron  iron steamer  .,Value,positive,True,a great iron,"(0, 12)"
151,a great iron that is easy to hold,Ergonomic,positive,True,easy to hold,"(21, 33)"
151,a great iron that is easy to hold,Value,positive,True,great iron,"(2, 12)"
152,a great microwave  built-in oven  .,Value,positive,True,a great microwave  built-in oven,"(0, 32)"
153,"a great product easy to use, wonderful cleaning with a heat indicator just great",Cleanable,positive,True,easy to use,"(16, 27)"
153,"a great product easy to use, wonderful cleaning with a heat indicator just great",Value,positive,True,great product,"(2, 15)"
153,"a great product easy to use, wonderful cleaning with a heat indicator just great",Usability,positive,True,easy to use,"(16, 27)"
153,"a great product easy to use, wonderful cleaning with a heat indicator just great",Notifications,positive,True,heat indicator,"(55, 69)"
154,"A great product, perfect for everyday needs",Value,"positive, positive, positive",True,great product,"(2, 15)"
154,"A great product, perfect for everyday needs",Suitability,"positive, positive, positive",True,perfect for everyday needs,"(17, 43)"
155,a great refrigerator freezer  .,Value,positive,True,great refrigerator freezer,"(2, 28)"
156,a great robot  .,Value,positive,True,a great robot,"(0, 13)"
157,a great robot .,Value,positive,True,a great robot,"(0, 13)"
158,a great robot cleaner .,Value,positive,True,a great robot cleaner,"(0, 21)"
159,a great robot soundbar .,Value,positive,True,a great robot soundbar,"(0, 22)"
160,a great robot toaster .,Value,positive,True,a great robot toaster,"(0, 21)"
161,A great solution is compatibility with the washing machine,Compatibility,positive,True,compatibility with the washing machine,"(20, 58)"
162,a great washing machine  washer dryer  .,Value,positive,True,a great washing machine,"(0, 23)"
163,"A hair dryer  soundbar  with real floor care benefits is hard to find, but this one nails it.",Value,negative,True,nails it,"(84, 92)"
164,A handy recipe book comes with the fryer,Accessories,positive,True,recipe book,"(8, 19)"
165,A horror!!!!...,Value,negative,True,A horror!!!!...,"(0, 15)"
166,A huge disappointment this handle!,Value,negative,True,A huge disappointment,"(0, 21)"
167,A huge disappointment!,Value,negative,True,A huge disappointment!,"(0, 22)"
168,A huge plus for compatibility with the hood.,Compatibility,positive,True,compatibility with the hood,"(16, 43)"
169,"A iron  iron steamer   with real floor care benefits is hard to find, but this one nails it.",Value,negative,True,nails it,"(83, 91)"
170,"A large and functional, useful function of changing the freezer into a fridge, it works great with my large family when we make larger purchases",Features,"positive, positive, positive",True,function of changing the freezer into a fridge,"(31, 77)"
170,"A large and functional, useful function of changing the freezer into a fridge, it works great with my large family when we make larger purchases",Suitability,"positive, positive, positive",True,works great with my large family,"(82, 114)"
170,"A large and functional, useful function of changing the freezer into a fridge, it works great with my large family when we make larger purchases",Performances,"positive, positive, positive",True,works great with my large family,"(82, 114)"
171,"A lifespan of 2 years is very, very little and is not possible for ecological reasons",Durability,"negative, negative",True,"A lifespan of 2 years is very, very little","(0, 42)"
172,A lifespan of one year is too little,Durability,negative,True,A lifespan of one year is too little,"(0, 36)"
173,"A light inside the drum, so you can see what you are doing.",Light,positive,True,A light inside the drum,"(0, 23)"
174,"A lightweight powerful cordless vacuum cleaner, much better than the one it replaced.",Comparison,positive,True,much better than the one it replaced,"(48, 84)"
174,"A lightweight powerful cordless vacuum cleaner, much better than the one it replaced.",Weight,positive,True,lightweight,"(2, 13)"
174,"A lightweight powerful cordless vacuum cleaner, much better than the one it replaced.",Power,positive,True,powerful,"(14, 22)"
175,A little beeper would have been much easier to notice.,Notifications,negative,True,A little beeper,"(0, 15)"
176,A little cheaper than the dyson site,Price,positive,True,A little cheaper,"(0, 16)"
177,A little expensive for a dishwasher   that is somewhat comparable to bad products.,Value for money,negative,True,expensive,"(9, 18)"
177,A little expensive for a dishwasher   that is somewhat comparable to bad products.,Price,negative,True,expensive,"(9, 18)"
178,A little expensive for a fridge  that is somewhat comparable to bad products.,Value for money,negative,True,expensive,"(9, 18)"
178,A little expensive for a fridge  that is somewhat comparable to bad products.,Price,negative,True,expensive,"(9, 18)"
179,A little expensive for a hand iron  that is somewhat comparable to bad products.,Value for money,negative,True,A little expensive,"(0, 18)"
179,A little expensive for a hand iron  that is somewhat comparable to bad products.,Price,negative,True,expensive,"(9, 18)"
180,A little expensive for a hob  that is somewhat comparable to bad products.,Value for money,negative,True,expensive,"(9, 18)"
180,A little expensive for a hob  that is somewhat comparable to bad products.,Price,negative,True,expensive,"(9, 18)"
181,A little expensive for a mixer   that is somewhat comparable to bad products.,Value for money,negative,True,expensive,"(9, 18)"
181,A little expensive for a mixer   that is somewhat comparable to bad products.,Price,negative,True,expensive,"(9, 18)"
182,A little expensive for a speakers  that is somewhat comparable to bad products.,Value for money,negative,True,expensive,"(9, 18)"
182,A little expensive for a speakers  that is somewhat comparable to bad products.,Price,negative,True,expensive,"(9, 18)"
